SEASON_ID,Player_ID,Game_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE
22021,1630558,0022100427,21,4,11,4,0,0.0,0,1,1,3,0,1,2,2,9,-4,0.364,1,0.25,0,0.074
22021,1630558,0022100406,26,3,7,3,0,0.0,0,4,4,6,0,0,1,1,8,-8,0.429,2,0.667,0,0.104
22021,1630558,0022100393,25,6,12,3,0,0.0,0,1,1,5,2,0,2,1,14,15,0.5,2,0.667,0,0.135
22021,1630558,0022100382,26,4,10,5,0,0.0,0,1,1,4,0,0,0,1,10,-1,0.4,2,0.4,0,0.075
22021,1630558,0022100377,24,7,10,3,4,0.75,1,2,3,4,0,0,0,1,18,1,0.7,1,0.333,3,0.17
22021,1630558,0022100348,28,1,7,2,0,0.0,0,2,2,3,0,0,1,3,2,-1,0.143,0,0.0,0,-0.044
22021,1630558,0022100327,28,7,10,4,3,1.0,0,3,3,2,2,0,2,2,20,8,0.7,3,0.75,3,0.149
22021,1630558,0022100318,24,3,14,8,0,0.0,0,1,1,2,2,0,3,2,8,-17,0.214,2,0.25,0,-0.036
22021,1630558,0022100303,31,5,12,5,0,0.0,2,2,4,6,1,1,1,3,11,-5,0.417,1,0.2,0,0.082
22021,1630558,0022100291,17,2,8,1,0,0.0,1,2,3,0,0,0,0,0,5,-20,0.25,1,1.0,0,0.022
22021,1630558,0022100279,30,6,11,1,6,0.667,2,0,2,3,0,0,0,4,16,-8,0.545,0,0.0,4,0.082
22021,1630558,0022100262,25,2,9,4,0,0.0,0,3,3,0,1,0,1,2,4,-4,0.222,0,0.0,0,-0.025
22021,1630558,0022100247,16,2,8,4,2,0.5,1,1,2,2,0,0,1,0,6,-11,0.25,1,0.25,1,0.024
22021,1630558,0022100238,26,2,10,5,2,0.0,2,3,5,4,0,0,1,3,5,-13,0.2,1,0.2,0,-0.014
22021,1630558,0022100220,22,2,7,5,2,1.0,3,1,4,4,3,0,1,3,7,10,0.286,1,0.2,2,0.134
22021,1630558,0022100200,19,3,6,2,0,0.0,0,0,0,7,2,1,1,4,7,11,0.5,1,0.5,0,0.089
22021,1630558,0022100180,21,2,6,2,0,0.0,0,2,2,2,1,0,0,0,5,-15,0.333,1,0.5,0,0.143
22021,1630558,0022100166,26,6,15,8,0,0.0,0,3,3,6,0,0,3,3,13,-13,0.4,1,0.125,0,0.06
22021,1630558,0022100153,31,5,11,2,0,0.0,1,5,6,2,0,0,2,4,12,11,0.455,2,1.0,0,0.071
22021,1630558,0022100143,28,1,7,1,0,0.0,2,1,3,6,1,1,1,2,2,6,0.143,0,0.0,0,0.031
22021,1630558,0022100132,25,6,11,5,3,1.0,2,2,4,4,0,0,1,4,19,15,0.545,4,0.8,3,0.161
22021,1630558,0022100118,26,6,12,2,0,0.0,0,2,2,8,0,0,0,2,12,12,0.5,0,0.0,0,0.141
22021,1630558,0022100105,30,7,15,7,4,0.5,0,4,4,2,0,1,2,4,18,-1,0.467,2,0.286,2,0.088
