Game_ID,MATCHUP,GAME_DATE
0022100427,SAC vs. WAS,2021-12-15
0022100406,SAC @ TOR,2021-12-13
0022100393,SAC @ CLE,2021-12-11
0022100382,SAC @ CHA,2021-12-10
0022100377,SAC vs. ORL,2021-12-08
0022100348,SAC vs. LAC,2021-12-04
0022100327,SAC @ LAC,2021-12-01
0022100318,SAC vs. LAL,2021-11-30
0022100303,SAC @ MEM,2021-11-28
0022100291,SAC @ LAL,2021-11-26
0022100279,SAC vs. POR,2021-11-24
0022100262,SAC vs. PHI,2021-11-22
0022100247,SAC vs. UTA,2021-11-20
0022100238,SAC vs. TOR,2021-11-19
0022100220,SAC @ MIN,2021-11-17
0022100200,SAC @ DET,2021-11-15
0022100180,SAC @ OKC,2021-11-12
0022100166,SAC @ SAS,2021-11-10
0022100153,SAC vs. PHX,2021-11-08
0022100143,SAC vs. IND,2021-11-07
0022100132,SAC vs. CHA,2021-11-05
0022100118,SAC vs. NOP,2021-11-03
0022100105,SAC @ UTA,2021-11-02
0022100089,SAC @ DAL,2021-10-31
0022100074,SAC @ NOP,2021-10-29
0022100062,SAC @ PHX,2021-10-27
0022100039,SAC vs. GSW,2021-10-24
0022100026,SAC vs. UTA,2021-10-22
0022100013,SAC @ POR,2021-10-20
0022100404,CLE vs. MIA,2021-12-13
0022100387,CLE @ MIN,2021-12-10
0022100367,CLE vs. CHI,2021-12-08
0022100358,CLE @ MIL,2021-12-06
0022100349,CLE vs. UTA,2021-12-05
0022100334,CLE @ WAS,2021-12-03
0022100323,CLE @ MIA,2021-12-01
0022100310,CLE @ DAL,2021-11-29
0022100295,CLE vs. ORL,2021-11-27
0022100199,CLE vs. BOS,2021-11-15
0022100190,CLE vs. BOS,2021-11-13
0022100176,CLE vs. DET,2021-11-12
0022100158,CLE vs. WAS,2021-11-10
0022100140,CLE @ NYK,2021-11-07
0022100127,CLE @ TOR,2021-11-05
0022100108,CLE vs. POR,2021-11-03
0022100094,CLE @ CHA,2021-11-01
0022100088,CLE @ PHX,2021-10-30
0022100077,CLE @ LAL,2021-10-29
0022100064,CLE @ LAC,2021-10-27
0022100048,CLE @ DEN,2021-10-25
0022100027,CLE vs. ATL,2021-10-23
0022100017,CLE vs. CHA,2021-10-22
0022100007,CLE @ MEM,2021-10-20
0021201194,MIA vs. CHI,2013-04-14
0021201180,MIA vs. BOS,2013-04-12
0021201157,MIA vs. MIL,2013-04-09
0021201140,MIA vs. PHI,2013-04-06
0021201080,MIA @ NOH,2013-03-29
0021201062,MIA @ CHI,2013-03-27
0021201049,MIA @ ORL,2013-03-25
0021201041,MIA vs. CHA,2013-03-24
0021201026,MIA vs. DET,2013-03-22
0021201009,MIA @ CLE,2013-03-20
0021200998,MIA @ BOS,2013-03-18
0021200985,MIA @ TOR,2013-03-17
0021200975,MIA @ MIL,2013-03-15
0021200956,MIA @ PHI,2013-03-13
0021200952,MIA vs. ATL,2013-03-12
