,Unnamed: 0,SEASON_ID,Player_ID,Game_ID, GAME_DATE,MATCHUP,WL,MIN,FGM,FGA,"FG_PCT,FG3M",FG3A,"FG3_PCT,FTM",FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,VIDEO_AVAILABLE,GAME_DATE,FG_PCT,FG3M,FG3_PCT,FTM,PIE
0,0,22021,1630558,0022100427,,SAC vs. WAS,,21,4,11,,4,,0,0.0,0,1,1,3,0,1,2,2,9,-4,0,"DEC 15, 2021",0.364,1,0.25,0,0.074
1,0,22021,1630558,0022100427,,SAC vs. WAS,,21,4,11,,4,,0,0.0,0,1,1,3,0,1,2,2,9,-4,0,"DEC 15, 2021",0.364,1,0.25,0,0.074
2,0,22021,1630558,0022100427,,SAC vs. WAS,,21,4,11,,4,,0,0.0,0,1,1,3,0,1,2,2,9,-4,0,"DEC 15, 2021",0.364,1,0.25,0,0.074
3,0,22021,1630558,0022100427,,SAC vs. WAS,,21,4,11,,4,,0,0.0,0,1,1,3,0,1,2,2,9,-4,0,"DEC 15, 2021",0.364,1,0.25,0,0.074
4,1,22021,1630558,0022100406,,SAC @ TOR,L,26,3,7,,3,,0,0.0,0,4,4,6,0,0,1,1,8,-8,1,"DEC 13, 2021",0.429,2,0.667,0,0.104
5,1,22021,1630558,0022100406,,SAC @ TOR,L,26,3,7,,3,,0,0.0,0,4,4,6,0,0,1,1,8,-8,1,"DEC 13, 2021",0.429,2,0.667,0,0.104
6,1,22021,1630558,0022100406,,SAC @ TOR,L,26,3,7,,3,,0,0.0,0,4,4,6,0,0,1,1,8,-8,1,"DEC 13, 2021",0.429,2,0.667,0,0.104
7,1,22021,1630558,0022100406,,SAC @ TOR,L,26,3,7,,3,,0,0.0,0,4,4,6,0,0,1,1,8,-8,1,"DEC 13, 2021",0.429,2,0.667,0,0.104
8,2,22021,1630558,0022100393,,SAC @ CLE,L,25,6,12,,3,,0,0.0,0,1,1,5,2,0,2,1,14,15,1,"DEC 11, 2021",0.5,2,0.667,0,0.135
9,2,22021,1630558,0022100393,,SAC @ CLE,L,25,6,12,,3,,0,0.0,0,1,1,5,2,0,2,1,14,15,1,"DEC 11, 2021",0.5,2,0.667,0,0.135
10,2,22021,1630558,0022100393,,SAC @ CLE,L,25,6,12,,3,,0,0.0,0,1,1,5,2,0,2,1,14,15,1,"DEC 11, 2021",0.5,2,0.667,0,0.135
11,2,22021,1630558,0022100393,,SAC @ CLE,L,25,6,12,,3,,0,0.0,0,1,1,5,2,0,2,1,14,15,1,"DEC 11, 2021",0.5,2,0.667,0,0.135
12,3,22021,1630558,0022100382,,SAC @ CHA,L,26,4,10,,5,,0,0.0,0,1,1,4,0,0,0,1,10,-1,1,"DEC 10, 2021",0.4,2,0.4,0,0.075
13,3,22021,1630558,0022100382,,SAC @ CHA,L,26,4,10,,5,,0,0.0,0,1,1,4,0,0,0,1,10,-1,1,"DEC 10, 2021",0.4,2,0.4,0,0.075
14,3,22021,1630558,0022100382,,SAC @ CHA,L,26,4,10,,5,,0,0.0,0,1,1,4,0,0,0,1,10,-1,1,"DEC 10, 2021",0.4,2,0.4,0,0.075
15,4,22021,1630558,0022100377,,SAC vs. ORL,W,24,7,10,,3,,4,0.75,1,2,3,4,0,0,0,1,18,1,1,"DEC 08, 2021",0.7,1,0.333,3,0.17
16,4,22021,1630558,0022100377,,SAC vs. ORL,W,24,7,10,,3,,4,0.75,1,2,3,4,0,0,0,1,18,1,1,"DEC 08, 2021",0.7,1,0.333,3,0.17
17,4,22021,1630558,0022100377,,SAC vs. ORL,W,24,7,10,,3,,4,0.75,1,2,3,4,0,0,0,1,18,1,1,"DEC 08, 2021",0.7,1,0.333,3,0.17
18,5,22021,1630558,0022100348,,SAC vs. LAC,W,28,1,7,,2,,0,0.0,0,2,2,3,0,0,1,3,2,-1,1,"DEC 04, 2021",0.143,0,0.0,0,-0.044
19,5,22021,1630558,0022100348,,SAC vs. LAC,W,28,1,7,,2,,0,0.0,0,2,2,3,0,0,1,3,2,-1,1,"DEC 04, 2021",0.143,0,0.0,0,-0.044
