,player_id,SEASON_ID,MIN,FGM,FGA,FG3A,FTA,FT_PCT,OREB,DREB,REB,AST,STL,BLK,TOV,PF,PTS,PLUS_MINUS,FG_PCT,FG3M,FG3_PCT,FTM,PIE,player_name,exp,season
0,2544,22012.0,37.91,10.07,17.82,3.34,7.04,0.74,1.28,6.75,8.03,7.25,1.7,0.88,2.97,1.45,26.79,9.47,0.57,1.36,0.36,5.3,0.23,LeBron James,19,2012
1,2544,22013.0,37.7,9.96,17.57,3.97,7.6,0.72,1.05,5.87,6.92,6.34,1.57,0.34,3.51,1.64,27.13,5.31,0.57,1.51,0.3,5.7,0.2,LeBron James,19,2013
2,2544,22014.0,36.14,9.04,18.54,4.91,7.65,0.71,0.74,5.29,6.03,7.41,1.58,0.71,3.94,1.96,25.26,7.81,0.49,1.74,0.34,5.43,0.17,LeBron James,19,2014
3,2544,22015.0,35.63,9.7,18.63,3.71,6.46,0.74,1.46,5.97,7.43,6.76,1.37,0.64,3.28,1.88,25.26,8.13,0.53,1.14,0.29,4.72,0.19,LeBron James,19,2015
4,2544,22016.0,37.78,9.95,18.16,4.62,7.18,0.67,1.31,7.32,8.64,8.73,1.24,0.59,4.09,1.81,26.41,6.51,0.55,1.68,0.33,4.84,0.19,LeBron James,19,2016
5,2544,22017.0,36.88,10.45,19.27,4.95,6.48,0.72,1.18,7.46,8.65,9.11,1.41,0.87,4.23,1.66,27.45,1.32,0.54,1.82,0.33,4.73,0.19,LeBron James,19,2017
6,2544,22018.0,35.2,10.15,19.91,5.95,7.6,0.63,1.04,7.42,8.45,8.25,1.31,0.6,3.58,1.71,27.36,2.11,0.51,2.02,0.32,5.05,0.19,LeBron James,19,2018
7,2544,22019.0,34.92,9.77,19.6,6.35,5.72,0.67,0.98,6.9,7.88,10.6,1.23,0.5,3.98,1.77,25.73,8.05,0.49,2.22,0.32,3.98,0.2,LeBron James,19,2019
8,2544,22020.0,33.79,9.38,18.29,6.45,5.81,0.7,0.6,7.29,7.88,7.86,1.07,0.6,3.74,1.57,25.19,6.88,0.51,2.36,0.35,4.07,0.19,LeBron James,19,2020
9,2544,22021.0,37.06,9.94,19.71,7.88,4.47,0.75,0.65,5.29,5.94,6.94,1.76,0.88,3.65,2.06,26.12,2.29,0.51,2.82,0.36,3.41,0.16,LeBron James,19,2021
10,201142,22012.0,38.51,9.02,17.69,4.12,9.26,0.91,0.57,7.33,7.9,4.62,1.43,1.3,3.46,1.77,28.15,8.85,0.52,1.72,0.43,8.38,0.21,Kevin Durant,14,2012
11,201142,22013.0,38.49,10.48,20.84,6.06,9.94,0.88,0.72,6.67,7.38,5.49,1.27,0.73,3.52,2.15,32.01,6.3,0.51,2.37,0.41,8.68,0.21,Kevin Durant,14,2013
12,201142,22014.0,33.81,8.81,17.3,5.89,6.33,0.86,0.59,6.0,6.59,4.07,0.89,0.93,2.74,1.48,25.41,6.22,0.52,2.37,0.39,5.41,0.2,Kevin Durant,14,2014
13,201142,22015.0,35.79,9.69,19.18,6.68,6.92,0.88,0.62,7.56,8.18,5.01,0.96,1.18,3.47,1.9,28.18,8.99,0.52,2.58,0.4,6.21,0.2,Kevin Durant,14,2015
